year,hhid,plot_area,sr_yield,cc_yield,,
1,3512,0.13149,1649.319,991.2176,,
1,3514,0.014908,9324.327,841.8523,,
2,3514,0.045034,1941.295,1321.423,,
1,3515,0.00849,6721.907,346.9,,
2,3515,0.040618,2296.17,750.3482,,
1,3519,0.040945,616.2537,788.7381,,
2,3519,0.030381,667.1949,313.1108,,
1,3520,0.046869,1015.631,806.7154,,
2,3520,0.060302,75.53864,220.353,,
2,3601,0.55704,5448.206,394.5634,,
1,3601,0.44674,11292.66,2743.697,,
1,3604,0.022747,153.5291,1018.895,,
2,3604,0.097373,1425.972,559.0959,,
2,3605,0.47568,2363.195,2298.713,,
1,3605,0.038107,20771.6,2365.628,,
1,3606,0.012636,951.0007,272.067,,
2,3606,0.27837,551.5314,538.646,,
2,3607,0.084632,2039.521,435.4842,,
1,3607,0.058756,1764.734,674.1875,,
1,3608,0.075871,86.23863,19.32273,,
2,3608,0.069393,495.0592,85.61293,,
2,3609,0.22198,126.7563,320.096,,
1,3609,0.057844,399.2707,761.8244,,
1,3610,0.0236,2314.815,786.8903,,
2,3610,0.055432,3824.033,464.9283,,
1,3611,0.1259,2197.689,324.3659,,
2,3611,0.058687,175.6702,309.2292,,
1,3612,0.013852,5062.437,1395.19,,
2,3612,0.05593,876.8671,685.2829,,
2,3615,0.079817,1807.939,1150.923,,
1,3615,0.020727,13349.71,2476.966,,
1,3618,0.88912,344.6948,1358.119,,
2,3618,0.62726,589.0756,121.1868,,
2,3702,0.064583,314.2343,505.008,,
1,3702,0.01349,4188.503,443.2108,,
2,3705,0.13075,651.3872,1932.806,,
1,3705,0.40415,1166.15,1427.814,,
1,3707,0.01355,15441.46,214.7097,,
2,3707,0.027827,493.2039,719.5497,,
1,3708,0.020323,2529.677,511.9784,,
2,3708,0.073495,396.5209,124.0364,,
1,3709,0.15121,970.5553,852.1829,,
2,3709,0.087219,296.9599,136.8549,,
2,3711,0.24933,963.2405,1263.043,,
1,3711,0.024414,17614.6,210.5659,,
1,3712,0.066861,4930.755,205.4693,,
2,3712,0.062284,398.4101,150.7356,,
2,3715,0.1996,3811.125,1383.249,,
1,3715,0.068276,10561.89,3035.116,,
2,3716,0.083308,705.3415,430.5128,,
1,3716,0.2518,688.7885,1166.038,,
1,3720,0.076691,2637.693,915.796,,
2,3720,0.18878,822.4586,1836.457,,
1,3723,0.019229,2826.17,1452.969,,
2,3723,0.017001,697.7759,771.8602,,
1,3724,0.10107,123.6136,290.3966,,
2,3724,0.031158,114.3443,108.7975,,
2,4302,0.08129,2522.779,631.8319,,
1,4302,0.1284,1094.568,474.3494,,
2,4303,0.1232,342.4658,389.4838,,
1,4303,0.10968,861.1107,700.6545,,
1,4305,0.1441,1759.325,287.5943,,
2,4305,0.058541,10.9774,23.70455,,
2,4306,0.24919,1194.72,571.2319,,
1,4306,0.46248,676.3539,596.9,,
2,4307,0.02508,9102.412,594.7077,,
1,4307,0.1191,322.6013,365.5193,,
1,4308,0.086287,1720.705,1527.698,,
2,4308,0.012107,9764.102,971.6724,,
1,4312,0.19565,1438.774,1278.02,,
2,4312,0.043866,629.52,1021.427,,
1,4318,0.082551,2344.887,620.9284,,
2,4318,0.066959,49.53847,173.6813,,
2,4319,0.15255,137.0523,93.76762,,
1,4319,0.31866,246.4775,593.0784,,
2,4407,0.17442,383.1358,639.2955,,
1,4407,0.098364,1785.163,506.1079,,
1,4409,0.11358,351.2031,113.7761,,
2,4409,0.081319,725.7769,322.737,,
2,4410,0.72436,697.2758,900.729,,
1,4410,0.36949,136.5699,2396.78,,
2,4411,0.092082,727.9764,682.0419,,
1,4411,0.087666,821.8363,674.0107,,
2,4412,0.092056,842.7575,1475.969,,
1,4412,0.073433,874.9457,592.5773,,
2,4415,0.19756,41.90093,177.7864,,
1,4415,0.060362,1689.146,1359.841,,
2,4421,0.039479,2980.197,1100.602,,
1,4421,0.24319,178.82,582.6307,,
2,4423,0.36502,609.342,1105.418,,
1,4423,0.39747,181.524,608.642,,
2,4424,0.099141,616.6339,1050.115,,
1,4424,0.0385,2251.705,1023.675,,
1,4501,0.025631,3438.768,1588.934,,
2,4501,0.031989,1461.316,1266.823,,
2,4503,0.082123,520.5743,903.2264,,
1,4503,0.10024,601.0339,2048.228,,
2,4504,0.29522,200.996,61.37962,,
1,4504,0.0431,1520.681,499.2993,,
2,4505,0.29915,839.0303,1658.38,,
1,4505,1.3748,2422.166,1962.944,,
1,4507,0.22192,938.0104,723.6938,,
2,4507,0.11107,205.1315,1090.952,,
2,4508,0.055763,837.5088,449.1349,,
1,4508,0.030145,675.7104,140.3301,,
2,4509,0.2499,115.7324,395.0838,,
1,4509,0.21216,78.12833,151.4659,,
2,4510,0.059702,302.1151,597.8869,,
1,4510,0.10878,1405.189,1704.043,,
2,4511,0.13488,487.8883,845.9082,,
1,4511,0.10868,1523.945,1858.767,,
1,4512,0.27609,214.3257,125.9722,,
2,4512,0.05619,412.4679,393.6644,,
2,4514,0.27816,1609.876,678.1074,,
1,4514,0.78772,2.083157,1226.172,,
2,4519,0.39612,1154.675,593.8707,,
1,4519,0.41085,984.9185,134.3,,
2,7601,0.42074,789.2224,912.634,,
1,7601,0.032156,6395.168,766.3244,,
2,7602,0.40204,792.088,895.606,,
1,7602,0.083022,9256.745,585.1097,,
2,7605,0.18932,1195.793,1653.264,,
1,7605,0.20654,523.3879,243.9773,,
1,7606,0.07797,2550.269,1776.294,,
2,7606,0.22679,1140.425,288.3748,,
1,7607,0.14938,914.1974,930.9977,,
2,7607,0.13115,515.1713,456.6312,,
2,7608,0.060491,924.3682,817.7162,,
1,7608,0.076718,2149.156,1937.652,,
2,7609,0.34476,1965.448,1140.445,,
1,7609,0.046361,11411.91,663.5676,,
2,7610,0.081614,1676.158,0,,
1,7610,0.06139,6870.332,961.1267,,
1,7611,0.069564,1559.302,1786.721,,
2,7611,0.15084,902.4695,959.1346,,
2,7612,0.13756,2008.095,667.1128,,
1,7612,0.068502,261.3714,1156.124,,
1,7613,0.26429,1775.454,2394.991,,
2,7613,0.3215,1159.284,484.3036,,
1,7614,0.281,716.8459,1993.069,,
2,7614,0.073157,3805.062,0,,
2,7702,0.13703,1059.396,295.6188,,
1,7702,0.15842,505.0338,540.3954,,
1,7703,0.27185,1296.976,441.3466,,
2,7703,0.13735,3818.251,263.9352,,
1,7704,0.065951,11727.73,126.5631,,
2,7704,0.22467,476.5506,1098.51,,
1,7705,0.20332,1064.093,1714.088,,
2,7705,0.15647,1777.69,710.0505,,
2,7706,0.074716,776.2949,826.6426,,
1,7706,0.14772,1874.379,1248.829,,
2,7707,0.065467,352.199,292.4872,,
1,7707,0.15443,363.1541,1126.743,,
2,7708,0.04913,594.1714,125.2654,,
1,7708,0.1109,295.0732,2393.527,,
2,7709,0.15382,2555.813,1207.375,,
1,7709,0.15964,1319.674,225.1778,,
2,7710,0.21742,1260.86,1322.564,,
1,7710,0.23528,1232.378,2009.231,,
1,7711,0.49909,1516.862,1243.364,,
2,7711,0.16436,474.6651,1825.483,,
1,7712,0.083381,647.2983,462.0159,,
2,7712,0.083971,296.9327,154.4403,,
1,7713,0.20854,3389.174,1134.947,,
2,7713,0.33827,1807.937,819.8438,,
1,7801,0.13803,6477.705,1149.018,,
2,7801,0.083125,1412.878,668.823,,
2,7802,0.072461,328.1907,416.0952,,
1,7802,0.021909,2065.418,1586.133,,
2,7803,0.13022,837.0029,1223.12,,
1,7803,0.35871,4590.857,819.2011,,
2,7804,0.093022,439.4906,414.0559,,
1,7804,0.011731,8940.762,1359.545,,
2,7805,0.24387,2061.764,1450.766,,
1,7805,0.095318,1740.919,1502.193,,
1,7806,0.049784,5979.071,1576.548,,
2,7806,0.11782,351.95,284.7125,,
2,7807,0.096446,558.3824,474.8723,,
1,7807,0.46879,1071.446,1729.655,,
2,7809,0.038605,347.8987,134.2034,,
1,7809,0.07423,2481.866,1272.779,,
2,7810,0.18729,457.7424,581.8024,,
1,7810,0.02499,292.4074,741.6522,,
2,7812,0.076686,413.5895,547.5096,,
1,7812,0.097967,666.8959,1077.968,,
2,7823,0.08617,526.7053,1259.079,,
1,7823,0.07195,1569.743,1133.728,,
2,7902,0.065249,116.414,366.4272,,
1,7902,0.095182,1547.29,641.5671,,
1,7904,0.048116,1301.067,1252.118,,
2,7904,0.041808,580.449,902.3736,,
2,7906,0.15158,254.856,1102.366,,
1,7906,0.012523,7369.723,163.9665,,
2,7908,0.16876,918.837,362.5459,,
1,7908,0.040592,497.0556,557.8233,,
1,7909,0.089473,2241.122,381.0216,,
2,7909,0.21001,1230.529,593.7211,,
1,7910,0.008437,46903.56,507.4364,,
2,7910,0.24006,433.8362,293.5811,,
1,7911,0.039503,938.501,185.9466,,
2,7911,0.13897,377.1592,522.4716,,
1,7912,0.16693,943.9871,1011.206,,
2,7912,0.044539,13612.83,2041.345,,
1,7914,0.028097,1958.482,610.7921,,
2,7914,0.066677,709.83,739.0747,,
2,7916,0.046628,0,27.52131,,
1,7916,0.045154,9401.024,943.929,,
1,7923,0.094954,3640.131,630.5483,,
2,7923,0.30587,267.1386,979.0265,,
2,8001,0.14014,596.0765,277.959,,
1,8001,0.008986,22367.13,410.4699,,
1,8002,0.086942,3654.46,1359.685,,
2,8002,0.055365,1187.771,479.0726,,
2,8003,0.16578,226.3508,125.897,,
1,8003,0.033689,6475.703,691.223,,
2,8004,0.040637,286.9117,230.5551,,
1,8004,0.030601,637.389,777.1454,,
2,8005,0.13644,747.09,753.0362,,
1,8005,0.002757,5160.396,123.217,,
1,8006,0.02038,42.50729,179.6244,,
2,8006,0.14373,408.3288,873.9091,,
2,8007,0.077814,596.5816,1330.846,,
1,8007,0.15331,662.616,894.1205,,
2,8008,0.49886,459.0744,281.1103,,
1,8008,0.10244,743.2454,894.5102,,
2,8009,0.072158,674.0402,1088.936,,
1,8009,0.083668,12.2447,50.75568,,
1,8010,0.059522,5389.879,298.7566,,
2,8010,0.056506,392.2,641.8337,,
2,8011,0.045855,1347.144,657.5381,,
1,8011,0.057521,432.2689,681.2062,,
2,8012,0.14059,19.40741,594.7606,,
1,8012,0.035481,3266.921,230.2523,,
